Axial position (m),Radius (m)
0,0.048
0.005,0.048
0.01,0.048
0.015,0.047
0.02,0.047
0.025,0.047
0.03,0.047
0.035,0.047
0.04,0.047
0.045,0.047
0.05,0.048
0.055,0.048
0.06,0.048
0.065,0.048
0.07,0.048
0.075,0.048
0.08,0.048
0.085,0.048
0.09,0.048
0.095,0.048
0.1,0.048
0.105,0.048
0.11,0.048
0.115,0.048
0.12,0.047
0.125,0.047
0.13,0.046
0.135,0.045
0.14,0.044
0.145,0.043
0.15,0.041
0.155,0.038
0.16,0.036
0.165,0.034
0.17,0.033
0.175,0.031
0.18,0.03
0.185,0.029
0.19,0.029
0.195,0.028
0.2,0.028
0.205,0.028
0.21,0.028
0.215,0.029
0.22,0.029
0.225,0.03
0.23,0.031
0.235,0.032
0.24,0.033
0.245,0.035
0.25,0.037
0.255,0.038
0.26,0.039
0.265,0.04
0.27,0.041
0.275,0.043
0.278,0.044
