Axial position (m), Channel height (m)
-0.35,0.00249
-0.34,0.00249
-0.33,0.00249
-0.32,0.00249
-0.31,0.0025
-0.3,0.0025
-0.29,0.0025
-0.28,0.00249
-0.27,0.00249
-0.26,0.0025
-0.25,0.0025
-0.24,0.0025
-0.23,0.00251
-0.22,0.00251
-0.21,0.00251
-0.2,0.00251
-0.19,0.00252
-0.18,0.00255
-0.17,0.00258
-0.16,0.00261
-0.15,0.00266
-0.14,0.00275
-0.13,0.00283
-0.12,0.00273
-0.11,0.00262
-0.1,0.00252
-0.09,0.00238
-0.08,0.00224
-0.07,0.00216
-0.06,0.00227
-0.05,0.00237
-0.04,0.00246
-0.03,0.00255
-0.02,0.00265
-0.01,0.00275
0,0.00293
0.01,0.00348
0.02,0.00399
0.03,0.00444
0.04,0.00471
0.05,0.00491
0.06,0.00498
0.07,0.00501
0.08,0.00504
0.09,0.00508
0.1,0.00513
0.11,0.00525
0.12,0.00537
0.13,0.0055
0.14,0.00562
0.15,0.00574
0.16,0.00586
0.17,0.00599
0.18,0.00611
0.19,0.00611
0.2,0.00611
0.21,0.00611
0.22,0.00611
0.23,0.00611
0.24,0.00611
