X_CHAMBER (m),Y_CHAMBER (m)
0.01,0.209
0.02,0.209
0.03,0.209
0.04,0.209
0.05,0.209
0.06,0.209
0.07,0.209
0.08,0.209
0.09,0.209
0.1,0.209
0.11,0.208
0.12,0.207
0.13,0.206
0.14,0.204
0.15,0.202
0.16,0.2
0.17,0.198
0.18,0.196
0.19,0.193
0.2,0.191
0.21,0.188
0.22,0.185
0.23,0.183
0.24,0.18
0.25,0.177
0.26,0.175
0.27,0.172
0.28,0.169
0.29,0.166
0.3,0.164
0.31,0.161
0.32,0.158
0.33,0.156
0.34,0.153
0.35,0.15
0.36,0.146
0.37,0.143
0.38,0.139
0.39,0.134
0.4,0.13
0.41,0.127
0.42,0.126
0.43,0.128
0.44,0.133
0.45,0.138
0.46,0.145
0.47,0.151
0.48,0.158
0.49,0.164
0.5,0.171
0.51,0.178
0.52,0.185
0.53,0.191
0.54,0.198
0.55,0.205
0.56,0.212
0.57,0.218
0.58,0.225
0.59,0.232
0.6,0.238
0.61,0.245
0.62,0.252
0.63,0.258
0.64,0.265
0.65,0.271
0.66,0.277
0.67,0.282
0.68,0.287
0.69,0.292
