Tube Axis x-Position (m),Simulation Firewall Temperature (K)
0,698.162
0.01,704.036
0.02,709.91
0.03,710.522
0.04,705.083
0.05,699.849
0.06,694.628
0.07,686.2
0.08,673.147
0.09,662.993
0.1,683.169
0.11,695.708
0.12,706.314
0.13,713.523
0.14,720.05
0.15,726.576
0.16,718.478
0.17,707.452
0.18,698.967
0.19,690.483
0.2,684.637
0.21,679.742
0.22,674.847
0.23,669.952
0.24,665.673
0.25,661.684
0.26,657.696
0.27,653.707
0.28,649.93
0.29,647.755
0.3,645.579
0.31,643.403
0.32,641.228
0.33,639.052
0.34,636.913
0.35,635.825
0.36,634.737
0.37,633.649
0.38,632.562
0.39,631.474
0.4,630.386
0.41,629.298
0.42,628.477
0.43,628.011
0.44,627.544
0.45,627.078
0.46,626.612
0.47,626.146
0.48,625.68
0.49,625.213
0.5,624.747
0.51,624.281
0.52,623.815
0.53,623.349
0.54,622.882
0.55,622.416
0.56,622.059
0.57,622.059
0.58,622.059
0.59,622.059
0.6,622.059
0.61,622.059
0.62,622.059
0.63,622.059
0.64,622.059
0.65,622.059
0.66,622.059
0.67,622.059
0.68,622.059
0.69,622.073
0.7,622.337
0.71,622.602
0.72,622.866
0.73,623.131
0.74,623.396
0.75,623.66
0.76,623.925
0.77,624.189
0.78,624.454
0.79,624.719
0.8,624.983
0.81,625.248
0.82,625.512
0.83,625.777
0.84,626.041
0.85,626.306
0.86,626.571
0.87,626.835
0.88,627.206
0.89,627.831
0.9,628.456
0.91,629.08
0.92,629.705
0.93,630.33
0.94,630.955
0.95,631.58
0.96,632.205
0.97,632.83
0.98,633.455
0.99,634.08
1,634.705
1.01,635.329
1.02,635.954
1.03,636.579
1.04,637.204
1.05,637.829
1.06,638.454
1.07,639.079
1.08,639.704
1.09,640.329
1.1,640.953
1.11,641.578
1.12,642.303
1.13,643.143
1.14,643.983
1.15,644.823
1.16,645.663
1.17,646.503
1.18,647.342
1.19,648.182
1.2,649.022
1.21,649.862
1.22,650.702
1.23,651.542
1.24,652.381
1.25,653.221
1.26,654.061
1.27,654.901
1.28,655.741
1.29,656.581
1.3,657.42
1.31,658.26
1.32,659.1
1.33,659.94
1.34,660.78
1.35,661.619
1.36,662.459
1.37,663.299
1.38,664.139
1.39,664.979
1.4,665.819
1.41,666.658
1.42,667.498
1.43,668.338
1.44,669.178
1.45,670.018
1.46,670.858
1.47,671.697
1.48,672.537
1.49,673.377
1.5,674.217
1.51,675.057
1.52,675.897
1.53,676.736
1.54,677.576
1.55,678.416
1.56,679.256
1.57,680.096
1.58,680.936
1.59,681.775
1.6,682.615
1.61,683.455
1.62,684.295
1.63,685.135
1.64,685.974
1.65,686.814
1.66,687.654
1.67,688.494
1.68,689.334
1.69,690.174
1.7,691.013
1.71,691.853
1.72,692.693
1.73,693.533
1.74,694.373
1.75,695.213
1.76,696.052
1.77,696.892
1.78,697.732
1.79,698.572
1.8,699.412
1.81,700.287
1.82,701.194
1.83,702.102
1.84,703.01
1.85,703.917
1.86,704.825
1.87,705.733
1.88,706.64
1.89,707.548
1.9,708.456
1.91,709.364
1.92,710.271
1.93,711.179
1.94,712.087
1.95,712.994
1.96,713.902
1.97,714.81
1.98,715.717
1.99,716.625
2,717.533
2.01,718.44
2.02,719.348
2.03,720.256
2.04,721.163
2.05,722.071
2.06,722.979
2.07,723.886
2.08,724.794
2.09,725.702
2.1,726.609
2.11,727.517
2.12,728.425
2.13,729.332
2.14,730.24
2.15,731.148
2.16,732.056
2.17,732.963
2.18,733.871
2.19,734.779
2.2,735.686
2.21,736.594
2.22,737.502
2.23,738.409
2.24,739.317
2.25,740.225
2.26,741.132
2.27,742.04
2.28,742.948
2.29,743.855
2.3,744.763
2.31,745.671
2.32,746.578
2.33,747.486
2.34,748.394
2.35,749.301
2.36,750.209
2.37,751.117
2.38,752.024
2.39,752.932
2.4,753.84
2.41,754.748
2.42,755.655
2.43,756.563
2.44,757.471
2.45,758.378
2.46,759.286
2.47,760.194
2.48,761.101
2.49,762.009
2.5,762.917
2.51,763.824
2.52,764.732
2.53,765.64
2.54,766.547
2.55,767.455
2.56,768.363
2.57,769.27
2.58,770.132
2.59,770.992
2.6,771.852
2.61,772.712
2.62,773.572
2.63,774.432
2.64,775.292
2.65,776.151
2.66,777.011
2.67,777.871
2.68,778.731
2.69,779.591
2.7,780.451
2.71,781.311
2.72,782.171
2.73,783.031
2.74,783.891
2.75,784.751
2.76,785.611
2.77,786.471
2.78,787.331
2.79,788.191
2.8,789.05
2.81,789.91
2.82,790.77
2.83,791.63
2.84,792.49
2.85,793.35
2.86,794.21
2.87,795.07
2.88,795.93
2.89,796.79
2.9,797.65
2.91,798.51
2.92,799.37
2.93,800.23
2.94,801.089
2.95,801.949
2.96,802.809
2.97,803.669
2.98,804.529
2.99,805.389
3,806.249
3.01,807.109
3.02,807.969
3.03,808.829
3.04,809.689
3.05,810.549
3.06,811.409
3.07,812.269
3.08,813.129
3.09,813.988
3.1,814.848
3.11,815.708
3.12,816.568
3.13,817.428
3.14,818.288
3.15,819.148
3.16,820.008
3.17,820.868
3.18,821.728
3.19,822.588
3.2,823.448
3.21,824.308
3.22,825.168
3.23,826.027
3.24,826.887
3.25,827.747
3.26,828.607
3.27,829.467
3.28,830.327
3.29,831.187
3.3,832.047
3.31,832.907
3.32,833.767
3.33,834.524
3.34,835.273
3.35,836.023
3.36,836.773
3.37,837.523
3.38,838.272
3.39,839.022
3.4,839.772
3.41,840.521
3.42,841.271
3.43,842.021
3.44,842.77
3.45,843.52
3.46,844.27
3.47,845.019
3.48,845.769
3.49,846.519
3.5,847.268
3.51,848.018
3.52,848.768
3.53,849.517
3.54,850.267
3.55,851.017
3.56,851.767
3.57,852.516
3.58,853.266
3.59,854.016
3.6,854.765
3.61,855.515
3.62,856.265
3.63,857.014
3.64,857.764
3.65,858.514
3.66,859.263
3.67,860.013
3.68,860.763
3.69,861.512
3.7,862.262
3.71,863.012
3.72,863.761
3.73,864.511
3.74,865.261
3.75,866.011
3.76,866.76
3.77,867.51
3.78,868.26
3.79,869.009
3.8,869.759
3.81,870.509
3.82,871.258
3.83,872.008
3.84,872.758
3.85,873.507
3.86,874.257
3.87,875.007
3.88,875.756
3.89,876.506
3.9,877.256
3.91,878.005
3.92,878.755
3.93,879.505
3.94,880.254
3.95,881.004
3.96,881.754
3.97,882.504
3.98,883.253
3.99,884.003
4,884.753
4.01,885.502
4.02,886.252
4.03,887.002
4.04,887.751
4.05,888.501
4.06,889.251
4.07,890
