X_NOZZLE_EXTENSION (m),Y_NOZZLE_EXTENSION (m)
0,0.305
0.01,0.312
0.02,0.318
0.03,0.325
0.04,0.331
0.05,0.338
0.06,0.343
0.07,0.349
0.08,0.354
0.09,0.359
0.1,0.365
0.11,0.37
0.12,0.375
0.13,0.381
0.14,0.386
0.15,0.391
0.16,0.397
0.17,0.402
0.18,0.408
0.19,0.413
0.2,0.418
0.21,0.423
0.22,0.428
0.23,0.433
0.24,0.438
0.25,0.443
0.26,0.448
0.27,0.453
0.28,0.457
0.29,0.462
0.3,0.467
0.31,0.472
0.32,0.477
0.33,0.482
0.34,0.487
0.35,0.492
0.36,0.497
0.37,0.501
0.38,0.506
0.39,0.511
0.4,0.516
0.41,0.521
0.42,0.525
0.43,0.529
0.44,0.533
0.45,0.537
0.46,0.54
0.47,0.544
0.48,0.548
0.49,0.552
0.5,0.556
0.51,0.56
0.52,0.564
0.53,0.568
0.54,0.572
0.55,0.576
0.56,0.58
0.57,0.584
0.58,0.588
0.59,0.592
0.6,0.596
0.61,0.599
0.62,0.603
0.63,0.607
0.64,0.611
0.65,0.615
0.66,0.618
0.67,0.621
0.68,0.625
0.69,0.628
0.7,0.631
0.71,0.635
0.72,0.638
0.73,0.641
0.74,0.645
0.75,0.648
0.76,0.651
0.77,0.654
0.78,0.658
0.79,0.661
0.8,0.664
0.81,0.668
0.82,0.671
0.83,0.674
0.84,0.678
0.85,0.681
0.86,0.684
0.87,0.686
0.88,0.689
0.89,0.692
0.9,0.694
0.91,0.697
0.92,0.7
0.93,0.702
0.94,0.705
0.95,0.708
0.96,0.71
0.97,0.713
0.98,0.716
0.99,0.718
1,0.721
1.01,0.724
1.02,0.726
1.03,0.729
1.04,0.732
1.05,0.734
1.06,0.737
1.07,0.739
1.08,0.742
1.09,0.744
1.1,0.747
1.11,0.749
1.12,0.751
1.13,0.754
1.14,0.756
1.15,0.759
1.16,0.761
1.17,0.764
1.18,0.766
1.19,0.768
1.2,0.771
1.21,0.773
1.22,0.776
1.23,0.778
1.24,0.78
1.25,0.783
1.26,0.785
1.27,0.788
1.28,0.79
1.29,0.792
1.3,0.794
1.31,0.796
1.32,0.798
1.33,0.8
1.34,0.802
1.35,0.804
1.36,0.806
1.37,0.808
1.38,0.81
1.39,0.812
1.4,0.814
1.41,0.816
1.42,0.818
1.43,0.82
1.44,0.822
1.45,0.824
1.46,0.826
1.47,0.827
1.48,0.829
1.49,0.831
1.5,0.833
1.51,0.835
1.52,0.837
1.53,0.838
1.54,0.84
1.55,0.841
1.56,0.843
1.57,0.845
1.58,0.846
1.59,0.848
1.6,0.849
1.61,0.851
1.62,0.852
1.63,0.854
1.64,0.855
1.65,0.857
1.66,0.858
1.67,0.86
1.68,0.861
1.69,0.863
1.7,0.864
1.71,0.866
1.72,0.867
1.73,0.869
1.74,0.871
1.75,0.872
1.76,0.874
1.77,0.875
1.78,0.877
